;;PAYS;;1909;1910;1911;1012;1913
N%.;;COUNTRIES;;;;;;
;;(FcrEnglishnamesoftheConuleiosseeT.x);;1909-10;1910-11;I911-12;1912-13;1913-14
;;185;;hiectatres;hectares;Lectares;hicctares;hectares
;;HEMIISPHERE-SEPTENTRIONAL;;;;;;
;;EUROPE;;店;;Y4;64;1AM.
;;Allomagne(）.. ;;1831383;1942916;1974197;1925746;1974008  101A
;;;;1100651;1213579;1215090;1260317;
3;;Auriche （x) Belgique.;;157765;161476;161305;160526;1212809
;;;;;;;;150404
4;; 旅品;;1040140;1088696;1118409;1168198;998648
5;;Danemark (). Espagne  工;;40512;40512;40512;54044;5404
6i;;Esthonie;;3782695; 3809464;3927892;3895069;3002025
8;;Etat Serbe-Croate-Slovene ()o oo;;373330;385763;386466;;
9;;Finlande France (i).;;3160];3159;3427;3422;3455
10;;;;65962401;6554870;6433360;6571580;654220
11;;;;;;79010G;;
12;;Grande-BretagneetIrlande.;;756098;751762;351231;797948;72501
;;Grcce（①）;;;;;;
13;;Hongrie (t)..;;3560978;8793999;8707784;3875174;3453208
14;;;;4709000;4758600;4751600;4755:400;4748600
15;;Italie Lettonie ①;;;R;;;
16;;Luxembourg;;11029;11219;11202;10848;1088
17;;;;3000;3692;3604;3:544;
18;;Malte Norvege 1 1   Pays-Bas 1;;5021;5:021;5021;5021;3550
;;;;;;;;[0:021
19;;;;51208;54748;57530;57854;57147
20;;;;;WO;490159(5);490000(5);490000
22;;Pologne(1). Portugal Roumanie (）;;1089044;1948217;1930164;2069420;1623105
23;;Rrssie d'Europe (I) Suede ;;23070652;25831233;25785539;24560634;25117768
24;;;;95767;97517;101477;104900];117:215 42365
25;;Snfsscoo;·;42400;42400;42365;42200;
26;;Tehecoslovaouiefr) ;;话;;;;
27;;Turquie d'Europe (3) .;;N010381;467173;raoa;8Rr;医
;;;;;;;480184S123653;
;;AMERIQUE;;;;RMSXUL;;
28;;Canado a;;[7)3136432;3586740;4492220;4450145;4457550
29;;Colombie..;;;;;;
30;;Etats-Unis;;17911:389;18486644;20049557;18540468;中 20308963
32;;Guatemala Mexique.;;;1063355;690381;;(3）598114
;;ASIE;;;;;;
33;;Chine.. ;8UH9;;;;;
34;;Chypre Indes britanniques;;10617184;11373936;12369044;12602140;12169942
;;;;;;;492232;
R6;;Japon,;;447645;471631;495113;166106;479465
B7;;;;110134;129172;152518;;479465 188303
38;;Coree.. Formosc..;;0744;5:648;5292;5476;6490
39;;KounngToung..;;1612;1853;1433;1:730;1508
40;;Sakhaline jnponaise;;;;;;
41;;RuiedAsie 9gonvernements： autresgouvernements：;;3116256;3223183;3850383;4074473;5002170
;;;;2821480;2831409;2772929;2983481;3388473
42;;Turquie d'Asie (3).;;;2569317;;;
;;APRIOUE;;;;;;
43;;Algerie...;;1386270;1438464;1386770;1464714;1448985
44;;Egpt...;;524791;525823;519984;538935;548447
40;;Kenia （9).;;;;;;
46;;Lybie.;;24148;;;;
47;;Maroe francais (o);;;;;;
48;;Timisie....;;404822;492000;563267;570877;614616
;;HEMIISPHEREMIERIDIONAI;;;;;;
;;AMERIQUE;;;;;;6579540
40;;Argentine...;;5836550;6253180;689700);6918450;
50;;Bresil Chili ·;;441789;391652;442486;446205;412117
52;;Perou;M;80000];鸭 75000;;;869:810
53;;Uruguay;;;257609;323244;330262;
;;AFRIQUE;;;;;;
54;;Rhodesiemeridionale.(9）;;;325111;293393;293393;298399
;;Union de lAtriquedu Sud;;;;;;
56;;OCEANIE;;2665318;2983485;3005896;2970210;R/758:4W
;;Australie;;;;;;
57;;Nouvelle-Zelande.;;125855;130375;87220;76836;07400
